Window,Start_time,End_time,Duration
Coursera | Online Courses & Credentials From Top Educators. Join for Free - Google Chrome,14-06-2018 12:18:26,14-06-2018 12:18:29,3.0455827713012695
New Tab - Google Chrome,14-06-2018 12:18:29,14-06-2018 12:18:32,2.2276194095611572
Yahoo Mail - Google Chrome,14-06-2018 12:18:32,14-06-2018 12:18:36,3.8519344329833984
(977 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:18:36,14-06-2018 12:18:37,1.238445520401001
(976 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:18:37,14-06-2018 12:18:47,10.675045490264893
(975 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:18:47,14-06-2018 12:18:54,6.110514402389526
(974 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:18:54,14-06-2018 12:18:57,3.0989272594451904
(973 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:18:57,14-06-2018 12:19:01,4.830670118331909
(972 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:19:01,14-06-2018 12:19:07,5.486742734909058
(971 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:19:07,14-06-2018 12:19:11,3.756406784057617
(970 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:19:11,14-06-2018 12:19:25,13.84773874282837
Task Switching,14-06-2018 12:19:25,14-06-2018 12:19:26,1.4307818412780762
War Thunder,14-06-2018 12:19:26,14-06-2018 12:19:34,7.6742331981658936
Task Switching,14-06-2018 12:19:34,14-06-2018 12:19:35,0.9363701343536377
(970 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:19:35,14-06-2018 12:20:37,62.270944356918335
War Thunder,14-06-2018 12:20:37,14-06-2018 12:22:00,83.40864205360413
War Thunder - Waiting for game,14-06-2018 12:22:00,14-06-2018 12:22:18,17.707706212997437
War Thunder - Loading,14-06-2018 12:22:18,14-06-2018 12:22:27,9.461196660995483
War Thunder - In battle,14-06-2018 12:22:27,14-06-2018 12:27:45,317.6316831111908
Task Switching,14-06-2018 12:27:45,14-06-2018 12:27:46,0.48436999320983887
(970 unread) - gamefree89@rocketmail.com - Yahoo7 Mail - Google Chrome,14-06-2018 12:27:46,14-06-2018 12:27:48,2.3285727500915527
output,14-06-2018 12:27:48,14-06-2018 12:27:50,2.1553080081939697
Opening - Excel (Product Activation Failed),14-06-2018 12:27:50,14-06-2018 12:27:50,0.4252946376800537
Excel (Product Activation Failed),14-06-2018 12:27:50,14-06-2018 12:27:51,0.1420731544494629
File in Use,14-06-2018 12:27:51,14-06-2018 12:27:52,1.2397739887237549
Excel (Product Activation Failed),14-06-2018 12:27:52,14-06-2018 12:27:52,0.0355229377746582
recorded_times  [Read-Only] - Excel (Product Activation Failed),14-06-2018 12:27:52,14-06-2018 12:27:52,0.32946181297302246
Microsoft Office Activation Wizard,14-06-2018 12:27:52,14-06-2018 12:27:54,1.5454401969909668
recorded_times  [Read-Only] - Excel (Product Activation Failed),14-06-2018 12:27:54,14-06-2018 12:27:55,1.6230590343475342
Excel (Product Activation Failed),14-06-2018 12:27:55,14-06-2018 12:27:55,0.006003141403198242
output,14-06-2018 12:27:55,14-06-2018 12:27:57,1.7059948444366455
Anaconda Prompt - python  my_time.py,14-06-2018 12:27:57,14-06-2018 12:27:58,0.535428524017334
Select Anaconda Prompt - python  my_time.py,14-06-2018 12:27:58,14-06-2018 12:27:58,0.819655179977417
